4028,9,S8,9,O,L
4028,10,A,10,I,R
4028,11,D,11,I,R
4028,12,C,12,I,R
4028,13,B,13,I,R
4028,14,S1,14,O,L
4028,15,S3,15,O,L
4028,16,VDD,16,W,D
4029,1,PE,1,I,R
4029,2,Q4,2,O,L
4029,3,J4,3,I,R
4029,4,J1,4,I,R
4029,5,Cin,5,I,R
4029,6,Q1,6,O,L
4029,7,Cout,7,O,L
4029,8,VSS,8,W,U
4029,9,B/D,9,I,L
4029,10,U/D,10,I,L
4029,11,Q2,11,O,L
4029,12,J2,12,I,R
4029,13,J3,13,I,R
4029,14,Q3,14,O,L
4029,15,CK,15,I,R
4029,16,VDD,16,W,D
4040,1,Q11,1,O,L
4040,2,Q5,2,O,L
4040,3,Q4,3,O,L
4040,4,Q6,4,O,L
4040,5,Q3,5,O,L
4040,6,Q2,6,O,L
4040,7,Q1,7,O,L
4040,8,VSS,8,W,U
4040,9,Q0,9,O,L
4040,10,CLK,10,I,R
4040,11,Reset,11,I,R
4040,12,Q8,12,O,L
4040,13,Q7,13,O,L
4040,14,Q9,14,O,L
4040,15,Q10,15,O,L
4040,16,VDD,16,W,D
4046,1,PCP,1,O,L
4046,2,PC1,2,O,L
4046,3,RefIn,3,I,R
4046,4,FOUT,4,I,L
4046,5,Inh,5,I,R
4046,6,C1,6,I,R
4046,7,C2,7,I,R
4046,8,VSS,8,W,U
4046,9,VCOin,9,I,L
4046,10,SFout,10,O,L
4046,11,R1,11,I,R
4046,12,R2,12,I,R
4046,13,PC2,13,T,L
4046,14,SigIn,14,I,R
4046,15,ZOUT,15,O,L
4046,16,VDD,16,W,D
4047,1,C,1,I,R
4047,2,R,2,I,R
4047,3,RC_COMMON,3,I,R
4047,4,~ASTABLE,4,I,R
4047,5,ASTABLE,5,I,R
4047,6,-TRIGGER,6,I,R
4047,7,VSS,7,W,U
4047,8,+TRIGGER,8,I,R
4047,9,EXT_RESET,9,I,R
4047,10,Q,10,O,L
4047,11,~Q,11,O,L
4047,12,RETRIGGER,12,I,R
4047,13,OSC_OUT,13,O,L
4047,14,VDD,14,W,D
4049,1,VCC,1,W,D
4049,2,~,2,O,L
4049,3,~,3,I,R
4049,4,~,4,O,L
4049,5,~,5,I,R
4049,6,~,6,O,L
4049,7,~,7,I,R
4049,8,VSS,8,W,U
4049,9,~,9,I,R
4049,10,~,10,O,L
4049,11,~,11,I,R
4049,12,~,12,O,L
4049,14,~,14,I,R
4049,15,~,15,O,L
4050,1,VCC,1,W,D
4050,2,~,2,O,L
4050,3,~,3,I,R
4050,4,~,4,O,L
4050,5,~,5,I,R
4050,6,~,6,O,L
4050,7,~,7,I,R
4050,8,VSS,8,W,U
4050,9,~,9,I,R
4050,10,~,10,O,L
4050,11,~,11,I,R
4050,12,~,12,O,L
4050,14,~,14,I,R
4050,15,~,15,O,L
4051,1,X4,1,P,R
4051,2,X6,2,P,R
4051,3,X,3,P,L
4051,4,X7,4,P,R
4051,5,X5,5,P,R
4051,6,Inh,6,I,R
4051,7,VEE,7,W,U
4051,8,VSS,8,W,U
4051,9,C,9,I,R
4051,10,B,10,I,R
4051,11,A,11,I,R
4051,12,X3,12,P,R
4051,13,X0,13,P,R
4051,14,X1,14,P,R
4051,15,X2,15,P,R
4051,16,VDD,16,W,D
4052,1,Y0,1,P,R
4052,2,Y2,2,P,R
4052,3,Y,3,P,L
4052,4,Y3,4,P,R
4052,5,Y1,5,P,R
4052,6,Inh,6,I,R
4052,7,VEE,7,W,U
4052,8,VSS,8,W,U
4052,9,B,9,I,R
4052,10,A,10,I,R
4052,11,X3,11,P,R
4052,12,X0,12,P,R
4052,13,X,13,P,L
4052,14,X1,14,P,R
4052,15,X2,15,P,R
4052,16,VDD,16,W,D
4053,1,Y1,1,P,R
4053,2,Y0,2,P,R
4053,3,Z1,3,P,R
4053,4,Z,4,P,L
4053,5,Z0,5,P,R
4053,6,Inh,6,I,R
4053,7,VEE,7,W,U
4053,8,VSS,8,W,U
4053,9,C,9,I,R
4053,10,B,10,I,R
4053,11,A,11,I,R
4053,12,X0,12,P,R
4053,13,X1,13,P,R
4053,14,X,14,P,L
4053,15,Y,15,P,L
4053,16,VDD,16,W,D
4056,1,STROBE,1,I,R
4056,2,2^2,2,I,R
4056,3,2^1,3,I,R
4056,4,2^3,4,I,R
4056,5,2^0,5,I,R
4056,6,FREQ.IN,6,I,R
4056,7,VEE,7,W,U
4056,8,VSS,8,W,U
4056,9,a,9,O,L
4056,10,b,10,O,L
4056,11,c,11,O,L
4056,12,d,12,O,L
4056,13,e,13,O,L
4056,14,g,14,O,L
4056,15,f,15,O,L
4056,16,VDD,16,W,D
4069,1,~,1,I,R
4069,2,~,2,O,L
4069,3,~,3,I,R
4069,4,~,4,O,L
4069,5,~,5,I,R
4069,6,~,6,O,L
4069,7,VSS,7,W,U
4069,8,~,8,O,L
4069,9,~,9,I,R
4069,10,~,10,O,L
4069,11,~,11,I,R
4069,12,~,12,O,L
4069,13,~,13,I,R
4069,14,VDD,14,W,D
4070,1,~,1,I,R
4070,2,~,2,I,R
4070,3,~,3,O,L
4070,4,~,4,O,L
4070,5,~,5,I,R
4070,6,~,6,I,R
4070,7,VSS,7,W,U
4070,8,~,8,I,R
4070,9,~,9,I,R
4070,10,~,10,O,L
4070,11,~,11,O,L
4070,12,~,12,I,R
4070,13,~,13,I,R
4070,14,VDD,14,W,D
4071,1,~,1,I,R
4071,2,~,2,I,R
4071,3,~,3,O,L
4071,4,~,4,O,L
4071,5,~,5,I,R
4071,6,~,6,I,R
4071,7,VSS,7,W,U
4071,8,~,8,I,R
4071,9,~,9,I,R
4071,10,~,10,O,L
4071,11,~,11,O,L
4071,12,~,12,I,R
4071,13,~,13,I,R
4071,14,VDD,14,W,D
4072,1,~,1,O,L
4072,2,~,2,I,R
4072,3,~,3,I,R
4072,4,~,4,I,R
4072,5,~,5,I,R
4072,7,VSS,7,W,U
4072,9,~,9,I,R
4072,10,~,10,I,R
4072,11,~,11,I,R
4072,12,~,12,I,R
4072,13,~,13,O,L
4072,14,VDD,14,W,D
4073,1,~,1,I,R
4073,2,~,2,I,R
4073,3,~,3,I,R
4073,4,~,4,I,R
4073,5,~,5,I,R
4073,6,~,6,O,L
4073,7,VSS,7,W,U
4073,8,~,8,I,R
4073,9,~,9,O,L
4073,10,~,10,O,L
4073,11,~,11,I,R
4073,12,~,12,I,R
4073,13,~,13,I,R
4073,14,VDD,14,W,D
4075,1,~,1,I,R
4075,2,~,2,I,R
4075,3,~,3,I,R
4075,4,~,4,I,R
4075,5,~,5,I,R
4075,6,~,6,O,L
4075,7,VSS,7,W,U
4075,8,~,8,I,R
4075,9,~,9,O,L
4075,10,~,10,O,L
4075,11,~,11,I,R
4075,12,~,12,I,R
4075,13,~,13,I,R
4075,14,VDD,14,W,D
4077,1,~,1,I,R
4077,2,~,2,I,R
4077,3,~,3,O,L
4077,4,~,4,O,L
4077,5,~,5,I,R
4077,6,~,6,I,R
4077,7,VSS,7,W,U
4077,8,~,8,I,R
4077,9,~,9,I,R
4077,10,~,10,O,L
4077,11,~,11,O,L
4077,12,~,12,I,R
4077,13,~,13,I,R
4077,14,VDD,14,W,D
4081,1,~,1,I,R
4081,2,~,2,I,R
4081,3,~,3,O,L
4081,4,~,4,O,L
4081,5,~,5,I,R
4081,6,~,6,I,R
4081,7,VSS,7,W,U
4081,8,~,8,I,R
4081,9,~,9,I,R
4081,10,~,10,O,L
4081,11,~,11,O,L
4081,12,~,12,I,R
4081,13,~,13,I,R
4081,14,VDD,14,W,D
4098,1,Cx1,1,I,R
4098,2,Rx1_Cx1,2,I,R
4098,3,~Reset1,3,I,R
4098,4,+TR1,4,I,R
4098,5,-TR1,5,I,R
4098,6,Q1,6,O,L
4098,7,~Q1,7,O,L
4098,8,VSS,8,W,U
4098,9,~Q2,9,O,L
4098,10,Q2,10,O,L
4098,11,-TR2,11,I,R
4098,12,+TR2,12,I,R
4098,13,~Reset2,13,I,R
4098,14,Rx2_Cx2,14,I,R
4098,15,Cx2,15,I,R
4098,16,VDD,16,W,D
4504,1,VCC,1,W,D
4504,2,Aout,2,O,L
4504,3,Ain,3,I,R
4504,4,Bout,4,O,L
4504,5,Bin,5,I,R
4504,6,Cout,6,O,L
4504,7,Cin,7,I,R
4504,8,VSS,8,W,U
4504,9,Din,9,I,R
4504,10,Dout,10,O,L
4504,11,Ein,11,I,R
4504,12,Eout,12,O,L
4504,13,Select,13,I,R
4504,14,Fin,14,I,R
4504,15,Fout,15,O,L
4504,16,VDD,16,W,D
4510,1,PE,1,I,R
4510,2,Q4,2,O,L
4510,3,A4,3,I,R
4510,4,A1,4,I,R
4510,5,CI,5,I,R
4510,6,Q1,6,O,L
4510,7,CO,7,O,L
4510,8,VSS,8,W,U
4510,9,RST,9,I,R
4510,10,U/D,10,I,R
4510,11,Q2,11,O,L
4510,12,A2,12,I,R
4510,13,A3,13,I,R
4510,14,Q3,14,O,L
4510,15,CLK,15,I,R
4510,16,VDD,16,W,D
4518,1,CK,1,I,R
4518,2,Enable,2,I,R
4518,3,Q1,3,O,L
4518,4,Q2,4,O,L
4518,5,Q3,5,O,L
4518,6,Q4,6,O,L
4518,7,Reset,7,I,R
4518,8,VSS,8,W,U
4518,9,CK,9,I,R
4518,10,Enable,10,I,R
4518,11,Q1,11,O,L
4518,12,Q2,12,O,L
4518,13,Q3,13,O,L
4518,14,Q4,14,O,L
4518,15,Reset,15,I,R
4518,16,VDD,16,W,D
4520,1,CK,1,I,R
4520,2,Enable,2,I,R
4520,3,Q1,3,O,L
4520,4,Q2,4,O,L
4520,5,Q3,5,O,L
4520,6,Q4,6,O,L
4520,7,Reset,7,I,R
4520,8,VSS,8,W,U
4520,9,CK,9,I,R
4520,10,Enable,10,I,R
4520,11,Q1,11,O,L
4520,12,Q2,12,O,L
4520,13,Q3,13,O,L
4520,14,Q4,14,O,L
4520,15,Reset,15,I,R
4520,16,VDD,16,W,D
4538,1,Cx,1,I,D
4538,2,RxCx,2,I,D
4538,3,R,3,I,R
4538,4,Clk+,4,I,R
4538,5,Clk-,5,I,R
4538,6,Q,6,O,L
4538,7,~Q,7,O,L
4538,8,VSS,8,W,U
4538,9,~Q,9,O,L
4538,10,Q,10,O,L
4538,11,Clk-,11,I,R
4538,12,Clk+,12,I,R
4538,13,R,13,I,R
4538,14,RxCx,14,I,D
4538,15,Cx,15,I,D
4538,16,VDD,16,W,D
4543,1,~LE,1,I,R
4543,2,D2,2,I,R
4543,3,D1,3,I,R
