156	4xxx	4017	16	VDD	16	D	1	0	W
157	4xxx	4020	1	Q11	1	L	1	0	O
158	4xxx	4020	2	Q12	2	L	1	0	O
159	4xxx	4020	3	Q13	3	L	1	0	O
160	4xxx	4020	4	Q5	4	L	1	0	O
161	4xxx	4020	5	Q4	5	L	1	0	O
162	4xxx	4020	6	Q6	6	L	1	0	O
163	4xxx	4020	7	Q3	7	L	1	0	O
164	4xxx	4020	8	VSS	8	U	1	0	W
165	4xxx	4020	9	Q0	9	L	1	0	O
166	4xxx	4020	10	CLK	10	R	1	0	I
167	4xxx	4020	11	Reset	11	R	1	0	I
168	4xxx	4020	12	Q8	12	L	1	0	O
169	4xxx	4020	13	Q7	13	L	1	0	O
170	4xxx	4020	14	Q9	14	L	1	0	O
171	4xxx	4020	15	Q10	15	L	1	0	O
172	4xxx	4020	16	VDD	16	D	1	0	W
173	4xxx	4021	1	D7	1	R	1	1	I
174	4xxx	4021	2	Q5	2	L	1	1	O
175	4xxx	4021	3	Q7	3	L	1	1	O
176	4xxx	4021	4	D3	4	R	1	1	I
177	4xxx	4021	5	D2	5	R	1	1	I
178	4xxx	4021	6	D1	6	R	1	1	I
179	4xxx	4021	7	D0	7	R	1	1	I
180	4xxx	4021	8	VSS	8	U	1	1	W
181	4xxx	4021	9	PL	9	R	1	1	I
182	4xxx	4021	10	CP	10	R	1	1	I
183	4xxx	4021	11	DS	11	R	1	1	I
184	4xxx	4021	12	Q6	12	L	1	1	O
185	4xxx	4021	13	D4	13	R	1	1	I
186	4xxx	4021	14	D5	14	R	1	1	I
187	4xxx	4021	15	D6	15	R	1	1	I
188	4xxx	4021	16	VDD	16	D	1	1	W
189	4xxx	4022	1	Q1	1	L	1	0	O
190	4xxx	4022	2	Q0	2	L	1	0	O
191	4xxx	4022	3	Q2	3	L	1	0	O
192	4xxx	4022	4	Q5	4	L	1	0	O
193	4xxx	4022	5	Q6	5	L	1	0	O
194	4xxx	4022	7	Q3	7	L	1	0	O
195	4xxx	4022	8	VSS	8	U	1	0	W
196	4xxx	4022	10	Q7	10	L	1	0	O
197	4xxx	4022	11	Q4	11	L	1	0	O
198	4xxx	4022	12	Cout	12	L	1	0	O
199	4xxx	4022	13	CKEN	13	R	1	0	I
200	4xxx	4022	14	CLK	14	R	1	0	I
201	4xxx	4022	15	Reset	15	R	1	0	I
202	4xxx	4022	16	VDD	16	D	1	0	W
203	4xxx	4023	1	~	1	R	1	1	I
204	4xxx	4023	2	~	2	R	1	1	I
205	4xxx	4023	3	~	3	R	2	1	I
206	4xxx	4023	4	~	4	R	2	1	I
207	4xxx	4023	5	~	5	R	2	1	I
208	4xxx	4023	6	~	6	L	2	1	O
209	4xxx	4023	7	VSS	7	U	4	0	W
210	4xxx	4023	8	~	8	R	1	1	I
211	4xxx	4023	9	~	9	L	1	1	O
212	4xxx	4023	10	~	10	L	3	1	O
213	4xxx	4023	11	~	11	R	3	1	I
214	4xxx	4023	12	~	12	R	3	1	I
215	4xxx	4023	13	~	13	R	3	1	I
216	4xxx	4023	14	VDD	14	D	4	0	W
217	4xxx	4025	1	~	1	R	1	1	I
218	4xxx	4025	2	~	2	R	1	1	I
219	4xxx	4025	3	~	3	R	2	1	I
220	4xxx	4025	4	~	4	R	2	1	I
221	4xxx	4025	5	~	5	R	2	1	I
222	4xxx	4025	6	~	6	L	2	1	O
223	4xxx	4025	7	VSS	7	U	4	0	W
224	4xxx	4025	8	~	8	R	1	1	I
225	4xxx	4025	9	~	9	L	1	1	O
226	4xxx	4025	10	~	10	L	3	1	O
227	4xxx	4025	11	~	11	R	3	1	I
228	4xxx	4025	12	~	12	R	3	1	I
229	4xxx	4025	13	~	13	R	3	1	I
230	4xxx	4025	14	VDD	14	D	4	0	W
231	4xxx	4027	1	Q	1	L	1	1	O
232	4xxx	4027	2	~Q	2	L	1	1	O
233	4xxx	4027	3	C	3	R	1	1	I
234	4xxx	4027	4	R	4	U	1	1	I
235	4xxx	4027	5	K	5	R	1	1	I
236	4xxx	4027	6	J	6	R	1	1	I
237	4xxx	4027	7	S	7	D	1	1	I
238	4xxx	4027	8	VSS	8	U	3	0	W
239	4xxx	4027	9	S	9	D	2	1	I
240	4xxx	4027	10	J	10	R	2	1	I
241	4xxx	4027	11	K	11	R	2	1	I
242	4xxx	4027	12	R	12	U	2	1	I
243	4xxx	4027	13	C	13	R	2	1	I
244	4xxx	4027	14	~Q	14	L	2	1	O
245	4xxx	4027	15	Q	15	L	2	1	O
246	4xxx	4027	16	VDD	16	D	3	0	W
247	4xxx	4028	1	S4	1	L	1	0	O
248	4xxx	4028	2	S2	2	L	1	0	O
249	4xxx	4028	3	S0	3	L	1	0	O
250	4xxx	4028	4	S7	4	L	1	0	O
251	4xxx	4028	5	S9	5	L	1	0	O
252	4xxx	4028	6	S5	6	L	1	0	O
253	4xxx	4028	7	S6	7	L	1	0	O
254	4xxx	4028	8	VSS	8	U	1	0	W
255	4xxx	4028	9	S8	9	L	1	0	O
256	4xxx	4028	10	A	10	R	1	0	I
257	4xxx	4028	11	D	11	R	1	0	I
258	4xxx	4028	12	C	12	R	1	0	I
259	4xxx	4028	13	B	13	R	1	0	I
260	4xxx	4028	14	S1	14	L	1	0	O
261	4xxx	4028	15	S3	15	L	1	0	O
262	4xxx	4028	16	VDD	16	D	1	0	W
263	4xxx	4029	1	PE	1	R	1	0	I
264	4xxx	4029	2	Q4	2	L	1	0	O
265	4xxx	4029	3	J4	3	R	1	0	I
266	4xxx	4029	4	J1	4	R	1	0	I
267	4xxx	4029	5	Cin	5	R	1	0	I
268	4xxx	4029	6	Q1	6	L	1	0	O
269	4xxx	4029	7	Cout	7	L	1	0	O
270	4xxx	4029	8	VSS	8	U	1	0	W
271	4xxx	4029	9	B/D	9	L	1	0	I
272	4xxx	4029	10	U/D	10	L	1	0	I
273	4xxx	4029	11	Q2	11	L	1	0	O
274	4xxx	4029	12	J2	12	R	1	0	I
275	4xxx	4029	13	J3	13	R	1	0	I
276	4xxx	4029	14	Q3	14	L	1	0	O
277	4xxx	4029	15	CK	15	R	1	0	I
278	4xxx	4029	16	VDD	16	D	1	0	W
279	4xxx	4040	1	Q11	1	L	1	0	O
280	4xxx	4040	2	Q5	2	L	1	0	O
281	4xxx	4040	3	Q4	3	L	1	0	O
282	4xxx	4040	4	Q6	4	L	1	0	O
283	4xxx	4040	5	Q3	5	L	1	0	O
284	4xxx	4040	6	Q2	6	L	1	0	O
285	4xxx	4040	7	Q1	7	L	1	0	O
286	4xxx	4040	8	VSS	8	U	1	0	W
287	4xxx	4040	9	Q0	9	L	1	0	O
288	4xxx	4040	10	CLK	10	R	1	0	I
289	4xxx	4040	11	Reset	11	R	1	0	I
290	4xxx	4040	12	Q8	12	L	1	0	O
291	4xxx	4040	13	Q7	13	L	1	0	O
292	4xxx	4040	14	Q9	14	L	1	0	O
293	4xxx	4040	15	Q10	15	L	1	0	O
294	4xxx	4040	16	VDD	16	D	1	0	W
295	4xxx	4046	1	PCP	1	L	1	0	O
296	4xxx	4046	2	PC1	2	L	1	0	O
297	4xxx	4046	3	RefIn	3	R	1	0	I
298	4xxx	4046	4	FOUT	4	L	1	0	I
299	4xxx	4046	5	Inh	5	R	1	0	I
300	4xxx	4046	6	C1	6	R	1	0	I
301	4xxx	4046	7	C2	7	R	1	0	I
302	4xxx	4046	8	VSS	8	U	1	0	W
303	4xxx	4046	9	VCOin	9	L	1	0	I
304	4xxx	4046	10	SFout	10	L	1	0	O
305	4xxx	4046	11	R1	11	R	1	0	I
306	4xxx	4046	12	R2	12	R	1	0	I
307	4xxx	4046	13	PC2	13	L	1	0	T
308	4xxx	4046	14	SigIn	14	R	1	0	I
309	4xxx	4046	15	ZOUT	15	L	1	0	O
310	4xxx	4046	16	VDD	16	D	1	0	W
311	4xxx	4047	1	C	1	R	1	0	I
312	4xxx	4047	2	R	2	R	1	0	I
313	4xxx	4047	3	RC_COMMON	3	R	1	0	I
314	4xxx	4047	4	~ASTABLE	4	R	1	0	I
315	4xxx	4047	5	ASTABLE	5	R	1	0	I
316	4xxx	4047	6	-TRIGGER	6	R	1	0	I
317	4xxx	4047	7	VSS	7	U	1	0	W
318	4xxx	4047	8	+TRIGGER	8	R	1	0	I
319	4xxx	4047	9	EXT_RESET	9	R	1	0	I
320	4xxx	4047	10	Q	10	L	1	0	O
321	4xxx	4047	11	~Q	11	L	1	0	O
322	4xxx	4047	12	RETRIGGER	12	R	1	0	I
323	4xxx	4047	13	OSC_OUT	13	L	1	0	O
324	4xxx	4047	14	VDD	14	D	1	0	W
325	4xxx	4049	1	VCC	1	D	7	0	W
326	4xxx	4049	2	~	2	L	1	0	O
327	4xxx	4049	3	~	3	R	1	0	I
328	4xxx	4049	4	~	4	L	2	0	O
329	4xxx	4049	5	~	5	R	2	0	I
330	4xxx	4049	6	~	6	L	3	0	O
331	4xxx	4049	7	~	7	R	3	0	I
332	4xxx	4049	8	VSS	8	U	7	0	W
333	4xxx	4049	9	~	9	R	4	0	I
334	4xxx	4049	10	~	10	L	4	0	O
335	4xxx	4049	11	~	11	R	5	0	I
336	4xxx	4049	12	~	12	L	5	0	O
337	4xxx	4049	14	~	14	R	6	0	I
338	4xxx	4049	15	~	15	L	6	0	O
339	4xxx	4050	1	VCC	1	D	7	0	W
340	4xxx	4050	2	~	2	L	1	0	O
341	4xxx	4050	3	~	3	R	1	0	I
342	4xxx	4050	4	~	4	L	2	0	O
343	4xxx	4050	5	~	5	R	2	0	I
344	4xxx	4050	6	~	6	L	3	0	O
345	4xxx	4050	7	~	7	R	3	0	I
346	4xxx	4050	8	VSS	8	U	7	0	W
347	4xxx	4050	9	~	9	R	4	0	I
348	4xxx	4050	10	~	10	L	4	0	O
349	4xxx	4050	11	~	11	R	5	0	I
350	4xxx	4050	12	~	12	L	5	0	O
351	4xxx	4050	14	~	14	R	6	0	I
352	4xxx	4050	15	~	15	L	6	0	O
353	4xxx	4051	1	X4	1	R	1	0	P
354	4xxx	4051	2	X6	2	R	1	0	P
355	4xxx	4051	3	X	3	L	1	0	P
356	4xxx	4051	4	X7	4	R	1	0	P
357	4xxx	4051	5	X5	5	R	1	0	P
358	4xxx	4051	6	Inh	6	R	1	0	I
359	4xxx	4051	7	VEE	7	U	1	0	W
360	4xxx	4051	8	VSS	8	U	1	0	W
361	4xxx	4051	9	C	9	R	1	0	I
362	4xxx	4051	10	B	10	R	1	0	I
363	4xxx	4051	11	A	11	R	1	0	I
364	4xxx	4051	12	X3	12	R	1	0	P
365	4xxx	4051	13	X0	13	R	1	0	P
366	4xxx	4051	14	X1	14	R	1	0	P
367	4xxx	4051	15	X2	15	R	1	0	P
368	4xxx	4051	16	VDD	16	D	1	0	W
369	4xxx	4052	1	Y0	1	R	1	0	P
370	4xxx	4052	2	Y2	2	R	1	0	P
371	4xxx	4052	3	Y	3	L	1	0	P
372	4xxx	4052	4	Y3	4	R	1	0	P
373	4xxx	4052	5	Y1	5	R	1	0	P
374	4xxx	4052	6	Inh	6	R	1	0	I
375	4xxx	4052	7	VEE	7	U	1	0	W
376	4xxx	4052	8	VSS	8	U	1	0	W
377	4xxx	4052	9	B	9	R	1	0	I
378	4xxx	4052	10	A	10	R	1	0	I
379	4xxx	4052	11	X3	11	R	1	0	P
380	4xxx	4052	12	X0	12	R	1	0	P
381	4xxx	4052	13	X	13	L	1	0	P
382	4xxx	4052	14	X1	14	R	1	0	P
383	4xxx	4052	15	X2	15	R	1	0	P
384	4xxx	4052	16	VDD	16	D	1	0	W
385	4xxx	4053	1	Y1	1	R	1	0	P
386	4xxx	4053	2	Y0	2	R	1	0	P
387	4xxx	4053	3	Z1	3	R	1	0	P
388	4xxx	4053	4	Z	4	L	1	0	P
389	4xxx	4053	5	Z0	5	R	1	0	P
390	4xxx	4053	6	Inh	6	R	1	0	I
391	4xxx	4053	7	VEE	7	U	1	0	W
392	4xxx	4053	8	VSS	8	U	1	0	W
393	4xxx	4053	9	C	9	R	1	0	I
394	4xxx	4053	10	B	10	R	1	0	I
395	4xxx	4053	11	A	11	R	1	0	I
396	4xxx	4053	12	X0	12	R	1	0	P
397	4xxx	4053	13	X1	13	R	1	0	P
398	4xxx	4053	14	X	14	L	1	0	P
399	4xxx	4053	15	Y	15	L	1	0	P
400	4xxx	4053	16	VDD	16	D	1	0	W
401	4xxx	4056	1	STROBE	1	R	1	0	I
402	4xxx	4056	2	2^2	2	R	1	0	I
403	4xxx	4056	3	2^1	3	R	1	0	I
404	4xxx	4056	4	2^3	4	R	1	0	I
405	4xxx	4056	5	2^0	5	R	1	0	I
406	4xxx	4056	6	FREQ.IN	6	R	1	0	I
407	4xxx	4056	7	VEE	7	U	1	0	W
408	4xxx	4056	8	VSS	8	U	1	0	W
409	4xxx	4056	9	a	9	L	1	0	O
410	4xxx	4056	10	b	10	L	1	0	O
411	4xxx	4056	11	c	11	L	1	0	O
412	4xxx	4056	12	d	12	L	1	0	O
413	4xxx	4056	13	e	13	L	1	0	O
414	4xxx	4056	14	g	14	L	1	0	O
415	4xxx	4056	15	f	15	L	1	0	O
416	4xxx	4056	16	VDD	16	D	1	0	W
417	4xxx	4069	1	~	1	R	1	0	I
418	4xxx	4069	2	~	2	L	1	0	O
419	4xxx	4069	3	~	3	R	2	0	I
420	4xxx	4069	4	~	4	L	2	0	O
421	4xxx	4069	5	~	5	R	3	0	I
422	4xxx	4069	6	~	6	L	3	0	O
423	4xxx	4069	7	VSS	7	U	7	0	W
424	4xxx	4069	8	~	8	L	4	0	O
425	4xxx	4069	9	~	9	R	4	0	I
426	4xxx	4069	10	~	10	L	5	0	O
427	4xxx	4069	11	~	11	R	5	0	I
428	4xxx	4069	12	~	12	L	6	0	O
429	4xxx	4069	13	~	13	R	6	0	I
430	4xxx	4069	14	VDD	14	D	7	0	W
431	4xxx	4070	1	~	1	R	1	0	I
432	4xxx	4070	2	~	2	R	1	0	I
433	4xxx	4070	3	~	3	L	1	0	O
434	4xxx	4070	4	~	4	L	2	0	O
435	4xxx	4070	5	~	5	R	2	0	I
436	4xxx	4070	6	~	6	R	2	0	I
437	4xxx	4070	7	VSS	7	U	5	0	W
438	4xxx	4070	8	~	8	R	3	0	I
439	4xxx	4070	9	~	9	R	3	0	I
440	4xxx	4070	10	~	10	L	3	0	O
441	4xxx	4070	11	~	11	L	4	0	O
442	4xxx	4070	12	~	12	R	4	0	I
443	4xxx	4070	13	~	13	R	4	0	I
444	4xxx	4070	14	VDD	14	D	5	0	W
445	4xxx	4071	1	~	1	R	1	1	I
446	4xxx	4071	2	~	2	R	1	1	I
447	4xxx	4071	3	~	3	L	1	1	O
448	4xxx	4071	4	~	4	L	2	1	O
449	4xxx	4071	5	~	5	R	2	1	I
450	4xxx	4071	6	~	6	R	2	1	I
451	4xxx	4071	7	VSS	7	U	5	0	W
452	4xxx	4071	8	~	8	R	3	1	I
453	4xxx	4071	9	~	9	R	3	1	I
454	4xxx	4071	10	~	10	L	3	1	O
455	4xxx	4071	11	~	11	L	4	1	O
456	4xxx	4071	12	~	12	R	4	1	I
457	4xxx	4071	13	~	13	R	4	1	I
458	4xxx	4071	14	VDD	14	D	5	0	W
459	4xxx	4072	1	~	1	L	1	1	O
460	4xxx	4072	2	~	2	R	1	1	I
461	4xxx	4072	3	~	3	R	1	1	I
462	4xxx	4072	4	~	4	R	1	1	I
463	4xxx	4072	5	~	5	R	1	1	I
464	4xxx	4072	7	VSS	7	U	3	0	W
465	4xxx	4072	9	~	9	R	2	1	I
466	4xxx	4072	10	~	10	R	2	1	I
467	4xxx	4072	11	~	11	R	2	1	I
468	4xxx	4072	12	~	12	R	2	1	I
469	4xxx	4072	13	~	13	L	2	1	O
